DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-05 09:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2956.34	2022-01-05 13:00:56
2022-01-05 10:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2905.12	2022-01-05 13:00:56
2022-01-05 11:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2812.23	2022-01-05 14:01:04
2022-01-05 12:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2891.13	2022-01-05 15:00:51
2022-01-05 13:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2986.51	2022-01-05 16:00:54
2022-01-05 14:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2982.35	2022-01-05 17:00:59
2022-01-05 15:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2937.03	2022-01-05 18:00:57
2022-01-05 16:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2801.27	2022-01-05 19:01:00
2022-01-05 17:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2776.47	2022-01-05 20:00:53
2022-01-05 18:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2817.33	2022-01-05 21:00:55
2022-01-05 19:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2776.6	2022-01-05 22:00:53
2022-01-05 20:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2771.22	2022-01-05 23:00:57
2022-01-05 21:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2724.44	2022-01-06 03:00:52
2022-01-05 22:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2702.86	2022-01-06 03:00:52
2022-01-05 23:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2584.25	2022-01-06 03:00:52
2022-01-06 00:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2511.56	2022-01-06 03:00:52
2022-01-06 01:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2542.05	2022-01-06 04:00:52
2022-01-06 02:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2526.88	2022-01-06 05:00:54
2022-01-06 03:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2525.33	2022-01-06 06:00:55
2022-01-06 04:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2569.76	2022-01-06 07:00:57
2022-01-06 05:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2660.7	2022-01-06 08:00:56
2022-01-06 06:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2735.7	2022-01-06 09:00:58
2022-01-06 07:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2715.94	2022-01-06 10:01:12
2022-01-06 08:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2823.17	2022-01-06 11:00:56
2022-01-06 09:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2847.99	2022-01-06 12:00:53
2022-01-06 10:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2869.99	2022-01-06 13:00:55
2022-01-06 11:00:00.000	PT60M	10YNO-4--------9	BZN	NO4 BZN	NO4	2853.99	2022-01-06 14:00:53
